,Z_0_0,Z_0_1,Z_0_2,Z_0_3,Z_0_4,Z_1_0,Z_1_1,Z_1_2,Z_1_3,Z_1_4,Z_2_0,Z_2_1,Z_2_2,Z_2_3,Z_2_4,Z_3_0,Z_3_1,Z_3_2,Z_3_3,Z_3_4,Z_4_0,Z_4_1,Z_4_2,Z_4_3,Z_4_4,Z_5_0,Z_5_1,Z_5_2,Z_5_3,Z_5_4
Z_0_0,0.24593072826086565,0.1922653596801383,0.08169875279601456,0.007410737758542066,0.00013993184005768407,0.26635756293696033,0.07244480620366786,0.004054339933713551,0.009907943604293866,0.001820225564519991,0.0625709724777081,0.02999401662605343,0.0035029163162298145,0.00029600093913173574,0.0006174853273153624,0.008183672594612534,0.0059666707356498426,0.001215122048511757,1.51968901234319e-05,0.0008369971558700616,0.001833963692972081,0.0021023192644495877,0.0008259700393611698,6.812817507256299e-07,7.564911680946146e-06,4.603242951002581e-10,6.0659481310732e-08,0.0,0.0,0.0
Z_0_1,0.09818670519223681,0.09804667707679551,0.2087024331391826,0.06280282805773817,0.005198397620880554,0.15968506404051397,0.1488490090784939,0.05373375970069799,0.04217570599495216,0.014242070009700515,0.03569506578434096,0.02326986598774659,0.008600350627177782,0.004801821216849155,0.003859003448395535,0.008797593817201379,0.00865704799828738,0.00395222538593305,0.0016916171040861788,0.0011329241766731052,0.0033571890386243854,0.0035763391943424076,0.00014343594967159052,0.00011740400852178392,0.0007098424171748528,1.3718782836689617e-05,7.759046300910786e-07,0.0,0.0,1.129246315082133e-06
Z_0_2,0.03086288983716579,0.148252801688881,0.09780381089075076,0.1303946196266267,0.03258773059147816,0.057686748849414916,0.10746608742439775,0.08258440135645291,0.09843458140912822,0.05120041484044128,0.020660330227343534,0.01509098279198931,0.012530523226179108,0.01105116956360566,0.019385141084849462,0.014114087416483036,0.01508914103990896,0.009899344242738617,0.014762639212936085,0.015156215873505232,0.002818725189818495,0.0034321074627737397,0.0030301825687642702,0.002541699217405018,0.0022097871119991295,0.00013428693077713617,0.0002822860667867246,0.0,9.851309101526062e-05,0.00043875116638384304
Z_0_3,0.004950888634794757,0.05240720258141969,0.19215971035120985,0.09919788584731613,0.10269613710404822,0.014766844485453385,0.046498180109954025,0.056870724135933706,0.15045750375207087,0.1615351287482575,0.004710833922072983,0.0039678256794299215,0.010600918726889872,0.02281026838058246,0.03145631977770911,0.0016170681183393975,0.0014085640970867626,0.005125979407152965,0.010139905422708055,0.013253894462295628,0.0011154847810102442,0.0027384546108985227,0.001991237232097778,0.003365385822466539,0.003001530933138257,2.2738799873697887e-07,7.570674207239378e-07,0.0,0.0005244995653413144,0.0006306388549024801
Z_0_4,0.00042077955544518375,0.004648881720322153,0.08949005704790497,0.18857908598420664,0.2299026809542797,0.004174537688417982,0.0041951287217761625,0.010754236641973352,0.08426991497740739,0.24885533778268965,0.001051124060902897,0.0012701251978338535,0.012134742536497191,0.030368456847211987,0.06482273429143026,7.706210805402748e-06,0.0003173746058469356,0.0012533915775199498,0.009372760391330226,0.010578963167256728,0.00032148818953169967,0.0,0.0002841012975171138,0.0008146295107680134,0.00199199540284926,0.0,0.0,0.0,0.0,0.00011976563827526382
Z_1_0,0.06536045311507746,0.08855129021822555,0.05788971394551311,0.001606369123311248,8.975319973103375e-07,0.23099410861487216,0.18029889564004,0.037506524747186916,0.0153298949673609,0.002715080519555781,0.20314291066380993,0.06645057768961005,0.008146103958463326,0.00306808721963123,0.0011381639456349492,0.01910321234061611,0.007508571675104721,0.0008227222225534534,0.0006450485400025498,0.0004556112926289769,0.003917749941803187,0.002007102553852141,0.0008269469862749258,0.000418563935733027,0.000748530035643911,0.0007337177731056036,0.00033250152999978594,0.0,0.0002806385513181581,1.0721073441533034e-08
Z_1_1,0.007070162649690721,0.03447938652517614,0.10224795102742174,0.009003343111858518,0.0004195257684691431,0.11991910272091726,0.14803350933353823,0.11432206874815816,0.10119909370119833,0.009095805188899277,0.1259333295489832,0.1081864217148577,0.04701392238770104,0.02791822555349228,0.013623041592692316,0.008564437630034607,0.0061487704318608834,0.002011526413053594,0.0012284907676460718,0.00325902786026651,0.0021678189151071395,0.0031532087876456885,0.0010328868149693307,0.000988188100638774,0.0016139764073513148,0.0004574276338480248,0.000429012803493541,0.00019098387427309273,0.00021787748723214333,7.147649952536159e-05
Z_1_2,0.0016337442076346995,0.013467840169257886,0.07091252872966981,0.012844731368559811,0.001243052268990097,0.041503062285219945,0.1509593406906349,0.11555958301038331,0.14683943229478222,0.04543787022711128,0.04855093608857486,0.08003784694485161,0.09335589498677685,0.0776727199899747,0.05458776316086026,0.0076374279349405985,0.004269988722388078,0.005015800064716526,0.004717209573887406,0.006658947757449088,0.0033435552784001985,0.0024698210636998285,0.000452841123680824,0.0028244378872009485,0.004226545671483144,0.001189912765604074,0.0003152511259285861,0.0004194287597147819,0.000563609341128631,0.0012888765064950178
Z_1_3,0.0001958023067853083,0.00839390429814142,0.10126601361496676,0.03105621725802922,0.007679606817539714,0.009993655003282555,0.110484127431267,0.12171865741210049,0.13694840957684148,0.11165971779469305,0.010919077565333205,0.027049627989433545,0.05406007440046388,0.10928688308163374,0.12112613484088006,0.003305847299429575,0.000977580859107903,0.0034394531624063517,0.005721263295930882,0.009756500498342743,0.00209197794249952,0.0016855782794477701,0.0023892796809046237,0.0032744002906992063,0.0029174129364751946,0.0005990243364920834,0.00018846631510618415,0.0004048846720489543,0.00030793067843491707,0.0011024903612828335
Z_1_4,0.0005199553030183937,0.0019443681116597482,0.04961354813164193,0.08753678019993957,0.06500714508099355,0.0017276612016032269,0.01678270353059655,0.03931473842487274,0.18637178431522677,0.23087429399580997,0.0030113396770012377,0.004206611241397304,0.008324666938740994,0.07120866789231683,0.19306067324827225,0.0008873479407000732,0.0007597145015867677,0.0014247175720552045,0.004793250735665506,0.021458008606036326,0.0009969262044910415,0.0007084530626572367,0.0019339086307812157,0.002778339018569629,0.004614714230041126,1.690892033676527e-06,0.0,0.0,3.850416242385538e-05,9.948714986720508e-05
