goalkeeper,shots_faced,goals_conceded,save_ratio
Frederik Rønnow,3.8393799244196356,0.0,1.0
Lukáš Hrádecký,34.338420196823314,0.0,1.0
Alexander Nübel,5.182192282387095,0.0,1.0
Gregor Kobel,5.6547437799971,0.0,1.0
Marvin Schwäbe,4.350452789320948,0.0,1.0
Manuel Riemann,5.70974093232256,0.0,1.0
Oliver Baumann,5.632546684428684,0.0,1.0
Michael Zetterer,3.8092292587802983,0.0,1.0
Kevin Trapp,2.0748949992379666,0.0,1.0
Tomáš Koubek,2.7626949922646404,0.0,1.0
Marcel Schuhen,4.140570152466444,0.0,1.0
Robin Zentner,2.6001029324431175,0.0,1.0
Koen Casteels,8.70777468667655,0.0,1.0
Noah Atubolu,4.808355687859377,0.0,1.0
Sven Ulreich,1.1541239157799155,0.0,1.0
Kevin Müller,4.519338902404072,0.0,1.0
Manuel Neuer,7.7099289319284825,0.0,1.0
Moritz Nicolas,3.53579786818428,0.0,1.0
Matěj Kovář,0.6819590034634025,0.0,1.0
Janis Blaswich,2.935472567026414,0.0,1.0
Finn Dahmen,3.4429855215614564,0.0,1.0
Pavao Pervan,0.9268713252426518,0.0,1.0
Jonas Omlin,2.4827712234963815,0.0,1.0
Dario Kresic,0.006206303245050411,0.0,1.0
Ørjan Håskjold Nyland,0.009126981419249447,0.0,1.0
David Yelldell,0.00886614749292916,0.0,1.0
Bernd Leno,0.14241974705712135,0.0,1.0
Yann Sommer,14.798090329721845,0.0,1.0
Rune Almenning Jarstein,0.013414497890505382,0.0,1.0
Ralf Fährmann,0.017117949178163436,0.0,1.0
Timo Horn,0.009939918043380853,0.0,1.0
Diego Orlando Benaglio,0.01060698640124003,0.0,1.0
Przemysław Tytoń,0.01531601558566367,0.0,1.0
René Adler,0.01204525806572616,0.0,1.0
Marwin Hitz,0.019768547368593122,0.0,1.0
Felix Wiedwald,0.014005932210177565,0.0,1.0
Loris Karius,0.04314316245160494,0.0,1.0
Roman Bürki,0.00736938248148374,0.0,1.0
Christian Mathenia,0.014883861090961091,0.0,1.0
Ron-Robert Zieler,0.009554135107431885,0.0,1.0
Alisson Ramsés Becker,8.324740219361834,0.0,1.0
Hugo Lloris,2.157071159058882,0.0,1.0
Keylor Navas Gamboa,7.406069989823879,0.0,1.0
Gianluigi Buffon,0.042522878455532605,0.0,1.0
Jan Oblak,12.078768509516804,0.0,1.0
Marc-André ter Stegen,8.270075031623147,0.0,1.0
Iker Casillas Fernández,0.01143659275486067,0.0,1.0
Thibaut Courtois,4.553546142968035,0.0,1.0
Roman Weidenfeller,0.0009026655421974954,0.0,1.0
Petr Čech,0.05661443888032031,0.0,1.0
Víctor Valdés Arribas,0.04555470938399619,0.0,1.0
Edwin van der Sar,0.00034235666521917097,0.0,1.0
Júlio César Soares de Espíndola,0.0002656685653954056,0.0,1.0
Hans-Jörg Butt,6.991278036721203e-05,0.0,1.0
Nelson de Jesus da Silva,2.1838158749393005e-05,0.0,1.0
José Manuel Reina Páez,0.027593136465363294,0.0,1.0
Jerzy Dudek,1.0387478394947241e-05,0.0,1.0
Vítor Manuel Martins Baía,1.973354990928953e-06,0.0,1.0
Flavio Roma,2.192616656587725e-07,0.0,1.0
Francesco Toldo,1.0571651341281317e-07,0.0,1.0
Mark Bosnich,7.688473702750049e-08,0.0,1.0
Dino Zoff,2.505660117493139e-15,0.0,1.0
Heinz Stuy,1.3797432032645384e-15,0.0,1.0
Ivano Bordon,6.524803549285103e-16,0.0,1.0
Takis Ikonomopoulos,3.016110651671583e-16,0.0,1.0
Camilo Andrés Vargas Gil,11.095752951126478,0.0,1.0
Rafael Enrique Romo Pérez,9.243870074812941,0.0,1.0
Jahmali Waite,11.174579504937322,0.0,1.0
Guillermo Viscarra Bruckner,6.953584586810534,0.0,1.0
Sergio Rochet Álvarez,10.173895103832018,0.0,1.0
Pedro David Gallese Quiróz,4.7863096841023385,0.0,1.0
Claudio Andrés Bravo Muñoz,4.2026756054141154,0.0,1.0
Alexander Domínguez Carabalí,8.728530293346328,0.0,1.0
Rodrigo Mario Morínigo Acosta,4.718778499510001,0.0,1.0
Matthew Charles Turner,4.975058720729489,0.0,1.0
Damián Emiliano Martínez,12.724487494325512,0.0,1.0
Julio José González Vela-Alvizu,5.707729242490225,0.0,1.0
Maxime Crépeau,10.259938930070419,0.0,1.0
Patrick Gilmar Sequeira Mejías,10.206005073932085,0.0,1.0
Orlando Mosquera,5.464580007465798,0.0,1.0
Dayne Tristan St. Clair,1.7959069322102943,0.0,1.0
Gabriel Arias Arroyo,1.4989419150366845,0.0,1.0
Ethan Horvath,0.7452111251163233,0.0,1.0
Yassine Bounou,2.531515191925968,0.0,1.0
Milan Borjan,0.9105859532240822,0.0,1.0
Alireza Safar Beiranvand,0.7633447388781232,0.0,1.0
Seyed Hossein Hosseini,0.9046093246168753,0.0,1.0
Jordan Pickford,15.630574393405237,0.0,1.0
Dominik Livaković,7.029359500361952,0.0,1.0
Andries Noppert,2.8223526042340104,0.0,1.0
Hernán Ismael Galíndez,0.9140287485589722,0.0,1.0
Shūichi Gonda,2.2303171572522498,0.0,1.0
Unai Simón Mendibil,12.573661395151568,0.0,1.0
Wayne Hennessey,1.2590169667070916,0.0,1.0
Daniel Ward,1.9686034886214068,0.0,1.0
Aymen Dahmen,1.6542222682242305,0.0,1.0
Steve Mandanda,1.8022438296081755,0.0,1.0
André Onana,0.3294582504347237,0.0,1.0
Lawrence Ati-Zigi,0.49418737565208554,0.0,1.0
Diogo Meireles Costa,10.475782008168698,0.0,1.0
Edouard Mendy,1.5666771410673512,0.0,1.0
Wojciech Szczęsny,8.379154957209764,0.0,1.0
Mohammed Khalil Al Owais,1.8708928832575304,0.0,1.0
Meshaal Aissa Barsham,1.4085264223861813,0.0,1.0
Kasper Schmeichel,12.015719041599928,0.0,1.0
Francisco Guillermo Ochoa Magaña,1.3888776901149817,0.0,1.0
Vanja Milinković Savić,1.7384863462666322,0.0,1.0
Mathew Ryan,2.44801625147163,0.0,1.0
Seung-Gyu Kim,0.7412810634781284,0.0,1.0
Eiji Kawashima,0.11659177362089487,0.0,1.0
Jaime Manuel Penedo Cano,0.08427458719470511,0.0,1.0
Khadim N'Diaye,0.034332938734169725,0.0,1.0
Vladimir Stojković,0.08444635723449033,0.0,1.0
Hyeon-Woo Jo,0.07997868816591691,0.0,1.0
Robin Olsen,0.7656600472873492,0.0,1.0
David de Gea Quintana,0.0640240612430803,0.0,1.0
Néstor Fernando Muslera Micol,0.04938932167627457,0.0,1.0
Danijel Subašić,0.16735812371220574,0.0,1.0
Wilfredo Daniel Caballero,0.06422843374794192,0.0,1.0
David Ospina Ramírez,0.10853103221894157,0.0,1.0
Aymen Mathlouthi,0.019328741623090385,0.0,1.0
Łukasz Fabiański,0.054960030644848126,0.0,1.0
Hannes Þór Halldórsson,0.17139776297352916,0.0,1.0
Lovre Kalinić,0.04236194992004178,0.0,1.0
Mohamed El Sayed Mohamed El Shenawy Gomaa,0.07565885512368745,0.0,1.0
Igor Akinfeev,0.08784044054874245,0.0,1.0
Rui Pedro dos Santos Patrício,0.5941688483201746,0.0,1.0
Munir Mohand Mohamedi,0.03807433267274606,0.0,1.0
Mouez Hassen,0.016270248572033665,0.0,1.0
Farouk Ben Mustapha,0.03413693228165964,0.0,1.0
Franco Armani,0.01940233057170849,0.0,1.0
Francis Odinaka Uzoho,0.06076096136322568,0.0,1.0
Sergio Javier Goycochea,1.955035319580491e-10,0.0,1.0
Claudio Andre Mergen Taffarel,2.7929075994007012e-11,0.0,1.0
Jean-Marie Pfaff,1.045863304138227e-11,0.0,1.0
Neri Alberto Pumpido Barrinat,3.140275972324634e-11,0.0,1.0
Harald Anton Schumacher,4.391008943523563e-12,0.0,1.0
Peter Shilton,1.039918841118868e-11,0.0,1.0
Jürgen Croy,7.157636968265843e-15,0.0,1.0
Jan Jongbloed,7.237890295143186e-15,0.0,1.0
Sepp Maier,3.825157644282947e-15,0.0,1.0
