player,attempts,completions,progressive,accuracy,progressive_ratio,shots,goals,shot_conversion
Nicola Zalewski,26.331027889133168,18.89518862254905,3.7552384310835594,0.7176016334078286,0.19874045748356017,0.48885393369301944,0.0,0.0
Angel Gomes,9.695762824799358,8.659817893705023,2.062458334144243,0.893154881177101,0.23816416920770134,0.21331423046008507,0.0,0.0
Bruno Petković,6.0287290135495715,3.725027941853139,0.925278634522445,0.617879478988214,0.24839508561166238,0.30367186902356413,0.0,0.0
Corentin Tolisso,7.954167193830637,7.361237839065685,2.0057967810259782,0.9254567649489647,0.2724809094445128,0.1064105403000374,0.0,0.0
Emerson Palmieri dos Santos,6.652063874640721,5.760293659722372,1.1525394598098158,0.8659408220179615,0.20008345544406925,0.09259210970113194,0.0,0.0
Victor Bernth Kristansen,22.75249063251978,17.60795269619778,2.446650312691168,0.7738912183543989,0.13895143603035076,0.24326594748580876,0.0,0.0
Eric Martel,6.654625189421228,5.308301986548375,0.6513979356421273,0.7976860958280436,0.12271305161100807,0.30141934246822455,0.0,0.0
Jordan Pickford,92.3878639585868,67.42296779196403,40.53248068179567,0.7297816499165585,0.6011672581198159,0.0,0.0,0.0
Eduardo Jesús Vargas Rojas,10.186448468570175,7.698560023088788,1.2387876486415763,0.755764881827297,0.16091160488796896,0.0014333329398986887,0.0,0.0
Marcos Javier Acuña,32.90181610668013,25.985260186632317,4.535149396861949,0.7897819409839955,0.17452776552127736,0.41602044260962584,0.0,0.0
Luis Fernando Sinisterra Lucumí,5.824912986228187,4.810773511860005,0.0,0.8258962019233752,0.0,0.0,0.0,0.0
Yann Sommer,53.465853195231624,44.57970933453895,22.507118750678377,0.8337977731647759,0.5048736092417851,0.0,0.0,0.0
Han-Noah Massengo,6.237528602038473,5.890999235258558,1.3861174671196623,0.9444444444444445,0.2352941176470591,0.11550978892663849,0.0,0.0
Jonas Hofmann,268.0308470787714,217.19692517694568,33.240882010541696,0.8103430166495494,0.15304490145733446,11.188972994812566,0.5872104601877591,0.05248117592740654
Alexander Nübel,24.445127791816457,18.63023291242588,10.434112452909378,0.7621245865878745,0.5600634464397972,0.0,0.0,0.0
Bartosz Bereszyński,9.942742154943133,7.493194698468649,1.857277814490404,0.7536346192728465,0.24786194530217767,0.0038364799978706965,0.0,0.0
Florian Sotoca,5.044457197542036,3.7075277200079815,1.0887846908483412,0.7349705973944061,0.2936686582200381,0.09670073534477822,0.0,0.0
Robert Skov,8.412485277895227,7.202726707619698,0.9598318970727839,0.8561948662835335,0.13325951907315692,0.31728564597504916,0.0,0.0
Abdou Diallo,23.47107787384263,19.680440849296385,7.347990837500056,0.8384975310924802,0.37336515445804974,0.16792292944537263,0.0,0.0
Mathew Ryan,11.109294615011256,7.422838045231738,4.752305592892654,0.6681646587355553,0.6402275738651507,0.0,0.0,0.0
Serhii Sydorchuk,6.3789176896422495,5.3638638181276725,1.3548020867574857,0.8408736527259526,0.25257950848394156,0.06168441706350587,0.0,0.0
Alejandro Garnacho Ferreyra,5.496120355134511,4.496825745110054,0.4996473050122281,0.8181818181818181,0.11111111111111108,0.4996473050122281,0.0,0.0
Sofyan Amrabat,13.959160840985007,11.93538808230237,3.626363317306391,0.8550218898015196,0.3038328785205998,0.0,0.0,0.0
Joseph Martín Mora Cortéz,9.757017246134906,8.260423881571853,3.010269382467284,0.8466136395161231,0.36442069143484057,0.0,0.0,0.0
Grzegorz Krychowiak,7.535226218678912,5.581445646032352,1.8387618969701498,0.7407137468808335,0.3294418710817796,0.09483050203314887,0.0038002060121333676,0.040073667550604875
Melvin Bard,11.352611478644796,9.55622498724619,1.7268194922574844,0.8417644702474177,0.180701008459105,0.07433302085078965,0.0,0.0
Moritz Jenz,12.43508500452196,10.780233755706748,4.451629882003039,0.8669207932062037,0.4129437248655646,0.0,0.0,0.0
Dayne Tristan St. Clair,6.413953329322481,4.104930130766386,2.5655813317289913,0.6399999999999997,0.625,0.0,0.0,0.0
João Neves,18.339473446567148,17.347744688922894,3.4710506517548736,0.9459238150684262,0.20008656537188108,0.24793218941106235,0.0,0.0
Mateusz Bogusz,6.357673380646841,5.086138704517473,1.8366611988535315,0.7999999999999999,0.36111111111111105,0.2825632613620817,0.0,0.0
Kevin Mbabu,5.099542295386105,3.185749500571372,0.9998023922528645,0.6247128302972859,0.3138358468151835,0.0,0.0,0.0
Folarin Balogun,8.199569164176223,5.6525374066991025,0.6840350177189456,0.6893700502454374,0.12101379761030183,1.7965881047031484,0.5882953210060189,0.3274514171979466
Matteo Darmian,24.110968169603105,22.11203779373458,7.944881506064684,0.9170945620346929,0.35930119060830557,0.24764479142681783,0.0,0.0
Luis Gerardo Chávez Magallón,45.46122106546589,33.69684002220233,10.359036637431538,0.7412216221310377,0.30741863719583584,2.5631496475748907,0.08330889106758058,0.032502546679786255
Cristian Gamboa Luna,6.428588457954352,4.6396824742497556,1.2618291406603837,0.7217264730189548,0.2719645466394602,0.007680339414271722,0.0,0.0
Jefferson Brenes Rojas,18.212402100059418,14.216076603597235,2.492605363813846,0.7805712022770931,0.17533708021685232,0.24887612407081014,0.0,0.0
Jhonder Leonel Cádiz Fernández,6.48407189213801,2.25664142756425,1.2525225679681788,0.3480284403231935,0.55503836483234,1.004118859596071,0.4987429844974909,0.4966971586392882
Thibault De Smet,5.135273917715338,4.294956367543737,1.3071606336002668,0.8363636363636362,0.3043478260869563,0.0,0.0,0.0
Carlos Soler Barragán,50.71638724854512,43.494025681376904,6.016170522376425,0.8575931378594914,0.13832176783195316,0.7861726234902107,0.28782237493649454,0.3661058224829912
Orel Mangala,9.969352319991588,9.721420130580526,0.996461916148713,0.9751305620011159,0.10250168213738214,0.0,0.0,0.0
Maximiliano Caufriez,6.511912456726335,6.038318823509875,1.5391793079534977,0.9272727272727274,0.25490196078431376,0.0,0.0,0.0
Joshua Kimmich,103.47207123133566,90.00612625583767,20.53387823988319,0.8698591338198713,0.2281386733778179,1.5922917790889137,0.0,0.0
Bart Verbruggen,41.914966593654185,34.185328612024186,21.15679897447206,0.8155876382637928,0.6188853474127631,0.0,0.0,0.0
Jere Juhani Uronen,10.58239943794327,9.081829272702294,1.4373318621475137,0.8582013300442364,0.15826457633020846,0.15477234247057114,0.0,0.0
Matej Maglica,8.905841505737365,6.313474924987754,3.01460391849056,0.7089139101476774,0.4774872719552945,0.0,0.0,0.0
William Saliba,63.70449940259821,60.39974470966497,19.117661520825635,0.948123684764432,0.31651891266630616,0.5365733355819058,0.0,0.0
Rafael Santos Borré Amaury,8.996456225723227,6.080730337920277,0.0,0.6759028427809024,0.0,0.41635236195589476,0.0,0.0
Bryan Oviedo,6.069888020439036,4.854735873401408,1.306188908582649,0.799806496768002,0.26905457735386223,0.011538749790331655,0.0,0.0
Jesús Daniel Gallardo Vasconcelos,11.785450995084467,8.315737456535903,2.1717237352084506,0.7055934864100042,0.26115828530656,0.08330889106758058,0.0,0.0
Gareth Frank Bale,7.727810102022055,5.07599177372155,1.4548388779070562,0.6568473741860412,0.2866117485530155,0.510195368420897,0.09533851772818837,0.18686668603690018
Janis Blaswich,17.596619359924723,14.340459544369642,5.865539786641568,0.8149553758620933,0.4090203503237453,0.0,0.0,0.0
Pedro González López,72.89875430943673,65.32395866551504,13.24159436000497,0.8960915626655485,0.2027065510191638,1.2809511173390309,0.07056488673864297,0.05508788413817862
Gregor Kobel,21.699072493038315,15.956922578735519,9.875356688017144,0.7353734858416163,0.6188760169318125,0.0,0.0,0.0
Mert Müldür,44.2620381031907,35.40261737628549,6.2758634550160215,0.7998415548273959,0.17727117145920177,0.8547752005943291,0.244192116693259,0.28567992674971276
Berat Djimsiti,10.672366219916157,9.922625067876108,3.7153963002674475,0.9297493042694764,0.37443683247650017,0.24699183489643775,0.0,0.0
Cameron Harper,6.122617088263122,3.4787597092404114,0.4174511651088495,0.5681818181818183,0.12000000000000004,0.0,0.0,0.0
Maxence Lacroix,16.0517547164263,13.093410865000047,4.550587740626697,0.8156996600254003,0.3475479221988564,0.15447855420710863,0.15447855420710863,1.0
Chris Richards,35.97330821845516,30.513007278344936,11.67390698062489,0.8482124327584373,0.3825878869995831,0.4968074167442155,0.0,0.0
Luis Alberto Suárez Díaz,26.87546584729703,19.419385345541333,3.5816550869281305,0.7225692553900201,0.1844370984558723,3.589084884469934,0.881449162772288,0.24559161768124851
Christian Nørgaard,14.714830423255988,12.603672800072303,2.787033150686065,0.8565285795039055,0.22112864994956682,0.0,0.0,0.0
Guillermo Varela Olivera,5.296565256519565,4.737046489530779,1.541442397661228,0.8943619610274655,0.3254015769251851,0.0006529565303800926,0.0,0.0
Boris Cespedes,20.236811287203746,19.23561079793503,4.998407789029605,0.950525778243443,0.25985178435644946,0.0,0.0,0.0
Federico Bernardeschi,6.175561507866157,3.967475081684998,0.8355683230676393,0.6424476667638083,0.21060455475192827,0.4810318296957944,0.06328597500819537,0.1315629675654053
Nicolò Barella,34.31592904536375,30.441939052525893,5.868428474366558,0.8871081127450561,0.19277446368448828,0.15311769875240797,0.031254247251091584,0.2041191025319016
Maxime Gonalons,8.169648332741136,7.635109063652145,2.053502677787925,0.9345701005333679,0.26895525141400684,0.0689558422806977,0.0,0.0
Sergio Ramos García,229.80807260204597,217.45030864976331,78.22893015670363,0.9462257186513968,0.359755433976887,2.1822025871099244,0.2938394457632854,0.1346526887553744
Arturo Erasmo Vidal Pardo,24.129218007513277,21.63483006105521,3.961020365292251,0.8966237552463834,0.1830853468279592,0.4466611947952649,0.09430879747998615,0.21114168541821562
Gregory Leigh,16.55086137163714,11.365423295948101,2.468048346407547,0.6866967851851377,0.21715410699110815,0.0,0.0,0.0
Pedro Chirivella Burgos,12.46906496704959,11.238388883146005,3.2259685126622046,0.9013016543617556,0.2870490197665368,0.0704818534618954,0.0,0.0
Amine Harit,5.438378663283316,4.686513594518752,1.471966554947116,0.8617483049055212,0.3140856257557211,0.15296397857789776,0.0,0.0
Manuel Ugarte Ribeiro,59.55214716181805,52.52423833034196,12.87082804920173,0.881987314204146,0.24504549629549924,1.2573048727031366,0.2531685010213627,0.2013580846760454
Edmond Fayçal Tapsoba,348.53703320728704,318.61953655321236,117.18322086957517,0.9141626461361375,0.36778416708921585,2.2833384703807282,0.0,0.0
Guillermo Alfonso Maripán Loaysa,14.6480342968704,12.356216311969852,3.5201921571333843,0.8435409189757153,0.28489240300230617,0.042600043695132615,0.0,0.0
Erik Janža,28.40725426324479,19.10828071793298,5.87323996829816,0.6726549683704052,0.30736621755750987,0.7297978424574263,0.24326594748580876,0.3333333333333333
Matěj Jurásek,6.652871979915733,3.4485249422005357,0.7400422833074641,0.5183513154335815,0.21459676114020979,0.9860973302556649,0.0,0.0
Lisandro Martínez,91.48898907222343,83.4589492145169,23.367224566209707,0.912229439420656,0.279984648574334,1.2591727302787055,0.2522082862809464,0.2002968141035921
Alphonso Davies,68.99725053507285,54.67990622475843,13.56128789831652,0.792493987814245,0.2480122742451984,2.1726830439897244,0.25268793754929003,0.11630225506122424
Florian Grillitsch,41.08698845148244,36.201608568959756,10.216271078232113,0.8810966666906828,0.2822048931547153,1.27531387402198,0.0,0.0
Kevin Duvan Castaño Gil,13.687572744400343,11.392444242524846,2.558783698186124,0.8323202700190618,0.22460357441425008,0.4958679589672479,0.0,0.0
Rasmus Carstensen,12.016518345792365,8.710969416876045,1.5506240439297234,0.7249162499657172,0.17800820663262218,0.0,0.0,0.0
Nuno Albertino Varela Tavares,8.321229310364835,7.1730450684542735,1.2026778910346216,0.8620174737306667,0.16766629507512462,0.7217976151360389,0.0,0.0
Iván Balliu Campeny,10.373657065650386,8.150730551582447,2.7169101838608154,0.7857142857142857,0.3333333333333333,0.0,0.0,0.0
Jonathan Gradit,6.726604807018913,6.082098301800163,1.9794498130936713,0.9041854659654992,0.3254550838988905,0.0,0.0,0.0
Angus Gunn,9.78626091044127,5.62710002350373,4.159160886937539,0.5750000000000001,0.7391304347826086,0.0,0.0,0.0
Damián Emiliano Martínez,66.9212634939978,52.728986916869694,27.318577645972585,0.7879257528005128,0.518094111859989,0.0,0.0,0.0
Alex Král,9.73893122751568,7.646346110469007,1.7116586836760666,0.7851319546097181,0.22385315272775141,0.45579919175698097,0.0,0.0
Darwin Daniel Machís Marcano,10.92647435946934,5.8179171457256285,0.9680658639828359,0.5324606047955055,0.16639388972633706,1.0963558096662338,0.02767571403493345,0.025243368795901062
Nathan Tella,67.47806517030277,54.65607909099562,7.9176012999170915,0.8099829026373724,0.14486222633598111,4.03469321552397,0.9238178984062319,0.22896856069545282
Warren Zaire Emery,50.536151503537674,47.137074673761546,7.153101616561386,0.9327396976491535,0.1517510720821863,0.706100852014933,0.09390233746000048,0.13298714651319327
Kasper Dolberg,6.926016284977089,5.3606652339751975,0.7259397488112097,0.7739896952888742,0.13541971324944863,0.6818166141545401,0.09311363084640348,0.1365669725749722
Barış Alper Yılmaz,26.04301016399413,20.10737216613318,2.97346689054072,0.7720832591745754,0.14787943774915183,0.9908312839146847,0.0,0.0
László Bénes,13.060404256567447,10.259947723577092,0.8323011569518924,0.7855765810937942,0.08112138379022012,0.24558798620721067,0.0,0.0
Roman Yaremchuk,10.431535699990985,8.645772910746498,1.4144278938494723,0.8288111318790742,0.1635976226129385,1.8126217790418924,0.30611015229336064,0.16887701330343885
Michael Zetterer,17.344418179836847,14.233377381952025,8.684634142304901,0.8206315850074778,0.6101597610499002,0.0,0.0,0.0
Andriy Lunin,5.849486211823027,5.605757619663734,2.9247431059115123,0.9583333333333333,0.5217391304347824,0.0,0.0,0.0
